44,64,06,기타 시스템응용 H/W
44,65,00,응용 S/W
44,65,01,멀티미디어/전자게임 S/W
44,65,02,저작도구
44,65,03,음성정보기술(SIT)
44,65,04,자동화용 응용 S/W
44,65,05,보안관련 S/W
44,65,06,시뮬레이션 S/W
44,65,07,기타 응용 소프트웨어
44,66,00,정보기술 S/W
44,66,01,데이타베이스 S/W
44,66,02,Internet/Intra
44,66,03,전자상거래
44,66,04,디지털컨텐츠
44,66,05,SCM/ERP/PDM
44,66,06,텔레메틱스 S/W
44,66,07,기타 정보기술 S/W
44,67,00,시스템 S/W
44,67,01,시스템 소프트웨어
44,67,02,실시간 소프트웨어
44,67,03,내장형 소프트웨어
44,67,04,네트워크 소프트웨어
44,67,05,Middleware
44,67,06,기타 시스템 소프트웨어
44,68,00,통신기기
44,68,01,전송/교환 기기
44,68,02,가입자 엑세스망
44,68,03,가입자 구내망 </A></
44,68,04,인터넷망 및 응용
44,68,05,유선통신 단말기
44,68,06,무선통신 단말기
44,68,07,위성통신/방송통신 기기
44,68,08,광통신 기기
44,68,09,기지국 및 제어기기
44,68,10,기타 통신 기기
44,69,00,통신부품
44,69,01,네트워크 부품
44,69,02,무선통신 부품
44,69,03,유선통신 부품
44,69,04,위성/방송통신 관련 부품
44,69,05,광통신 부품
44,69,06,기타 통신 부품
45,00,00,경영외
45,70,00,경영 및 품질관리
45,70,01,생산관리, 생산성개선, 생산라인
45,70,02,품질관리, 품질보증, 불량감소
45,70,03,원가절감, 공정분석
45,70,04,부품가공견적
45,70,05,제조공정개선, 공장레이아웃
45,70,06,공정개선, 공정관리, 현장개선
45,70,07,자동화설비, 조립라인
45,70,08,경영, 전략, 마케팅, IT경영
45,70,09,일본진출
45,70,10,인재육성
45,70,11,설비관리
45,70,12,제품개발
45,70,13,재품가공
45,71,00,에너지관리 및 중소기업진단
45,71,01,노사관계개선, 노동안전위생, 노동재해방지
45,71,02,에너지절약
45,71,03,중소기업진단
45,71,04,인적자원관리
45,71,05,사후관리, 환경기술
45,71,06,주택개발
45,71,07,발명, 특허관련
46,00,00,전기전자
46,72,00,광응용시스템
46,72,01,레이저 관련부품 및 발생장치
46,72,02,레이저 가공기
46,72,03,결상기기
46,72,04,광계측?제어기기
46,72,05,광원
46,72,06,광소재
46,72,07,광부품
46,72,08,광소자
46,72,09,기타 광응용 기기
46,73,00,반도체장비
46,73,01,열처리장비
46,73,02,노광?트랙장비
46,73,03,에칭 장비
46,73,04,폴리싱(CMP) 장비
46,73,05,증착장비
46,73,06,이온주입장비
46,73,07,세정장비
46,73,08,패키징장비
46,73,09,측정/검사 장비
46,73,10,반도체장비용 핵심부품 및 제조장비
46,73,11,기타 반도체장비
46,74,00,중전기기
46,74,01,발전기/전동기 및 제어
46,74,02,전력변환기기
46,74,03,전력용 재료
46,74,04,변압기류
46,74,05,개폐기류
46,74,06,송배전 및 보호/감시장치
46,74,07,자동화제어기기
46,74,08,전기로
46,74,09,전선
46,74,10,초전도 기술/제품
46,74,11,전기용접 및 가열
46,74,12,전원장치
46,74,13,에너지저장기기
46,74,14,기타 중전기기
46,75,00,의료기기
46,75,01,생체신호기기
46,75,02,의료영상기기
46,75,03,생체재료/기기
46,75,04,재활 및 복지의료기기
46,75,05,인공장기
46,75,06,시험분석기기
46,75,07,한방의료기기
46,75,08,치과재료/기기
46,75,09,병원설비
46,75,10,의료정보시스템
46,75,11,원격 및 재택 의료기기
46,75,12,기타 의료기기
46,76,00,반도체소자 및 시스템
46,76,01,Si 소자
46,76,02,화합물 소자
46,76,03,MEMS 소자
46,76,04,Sensor용 소자
46,76,05,반도체 재료
46,76,06,통신용 SoC
46,76,07,산업용 SoC
46,76,08,설계 Tool
46,76,09,기타 반도체 소자
46,77,00,전기전자부품
46,77,01,휴대정보 통신 부품
46,77,02,센서 부품
46,77,03,PCB 부품
46,77,04,커패시터 부품
46,77,05,자성재료 부품
46,77,06,기록매체 부품
46,77,07,복합 부품
46,77,08,기타 전기전자부품
46,78,00,가정용기기 및 전자응용기기
46,78,01,홈 네트워크기기
46,78,02,정보가전기기
46,78,03,음성정보기술 응용기기
46,78,04,조명기기
46,78,05,소형가전
46,78,06,백색가전
46,78,07,가정용 가스기기
46,78,08,냉?난방기기
46,78,09,자동판매기
46,78,10,현금자동입출금기
46,78,11,기타 가정용기기 및 전자응용기기
46,79,00,계측기기
46,79,01,계측센서 및 부품
46,79,02,화학량 시험/분석 계측기
46,79,03,물리량 시험/분석 계측기
46,79,04,환경계측기
46,79,05,안전감시/진단 계측제어기
46,79,06,유체 제어계측기
46,79,07,전자 계측기(일반)
46,79,08,전자 계측기(통신)
46,79,09,광계측기
46,79,10,기타 계측기기
46,80,00,영상/음향기기
46,80,01,TV수상기
46,80,02,방송수신기
46,80,03,3차원 영상기기
46,80,04,AV재생 및 기록기기
46,80,05,화상통신
46,80,06,카메라 및 캠코더
46,80,07,전광판
46,80,08,휴대용 AV기기
46,80,09,카 오디오
46,80,10,방송 AV기기
46,80,11,건축음향 및 응용기기
46,80,12,스피커
46,80,13,마이크로폰
46,80,14,기타 영상/음향기기
46,81,00,전지
46,81,01,전지재료
46,81,02,제조 및 측정평가 장비
46,81,03,응용 및 활용기술 (HEV 등
46,81,04,일차전지
46,81,05,이차전지
46,81,06,초고용량 커패시터
46,81,07,기타 전지
46,82,00,디스플레이
46,82,01,LCD
46,82,02,PDP
46,82,03,FED
46,82,04,EL
46,82,05,디스플레이 부품 및 소재
46,82,06,E-Paper
46,82,07,3D
46,82,08,디스플레이 제조장비
46,82,09,디스플레이 측정 및 검사장비
46,82,10,기타 디스플레이
47,00,00,섬유화학
47,83,00,섬유제조
47,83,01,중합개질
47,83,02,섬유방사
47,83,03,천연섬유방적
47,83,04,사가공기술
47,83,05,제직기술
47,83,06,방사설비
47,83,07,사가공설비
47,83,08,산업용 섬유제조기술
47,83,09,나노섬유제조기술
47,83,10,제직설비
47,83,11,기타(유제, 첨가제 등)
47,84,00,염색가공
47,84,01,침염기술
47,84,02,날염기술
47,84,03,사염기술
47,84,04,가먼트염색기술
